2026-02-17 09:49:29,657 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:49:35,483 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:49:40,564 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:49:40,565 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:49:46,387 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:49:51,339 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:49:51,340 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:49:57,639 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:50:04,292 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:50:04,308 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:50:15,672 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:50:20,691 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:50:20,692 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
